linux; GNU C++ version 5.4.0 20160609; Boost_105800; UHD_003.009.007-0-unknown

---  Software Radio Systems LTE eNodeB  ---

Reading configuration file /root/.srs/enb.conf...
Opening USRP with args: type=b200,master_clock_rate=30.72e6
-- Detected Device: B210
-- Operating over USB 3.
-- Detecting internal GPSDO.... Found an internal GPSDO: GPSTCXO , Firmware Rev 0.929a
-- Initialize CODEC control...
-- Initialize Radio control...
-- Performing register loopback test... pass
-- Performing register loopback test... pass
-- Performing CODEC loopback test... pass
-- Performing CODEC loopback test... pass
-- Asking for clock rate 30.720000 MHz... 
-- Actually got clock rate 30.720000 MHz.
-- Performing timer loopback test... pass
-- Performing timer loopback test... pass
Setting frequency: DL=1822.5 Mhz, UL=1727.5 MHz
Setting Sampling frequency 11.52 MHz

==== eNodeB started ===
Type <t> to view trace
Enter t to stop trace.
RACH:  tti=4741, preamble=16, offset=4, temp_crnti=0x46
Unhandled feature in RRC function: liblte_rrc_unpack_rrc_connection_setup_complete_msg


------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.6  24.4M     0%  20.8  28.3  14.3   500k     0%    0.0
46   15.0     0  25.9  13.3M     0%  22.1  27.1  14.5   305k     0%    0.0
46   15.0     0  26.9  29.9M     0%  19.8  28.3  13.9   562k     0%    0.0
46   15.0     0  26.6  20.6M     0%  20.6  29.1  14.1   423k     0%    0.0
46   15.0     0  26.0  10.6M     0%  21.2  27.0  14.5   201k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.0  10.4M   1.2%  22.4  27.0  14.2   208k     0%    0.0
46   15.0     0  25.9  9.59M     0%  22.8  27.4  14.2   199k     0%    0.0
46   14.9     0  25.9  8.80M     0%  22.4  28.0  14.3   205k     0%    0.0
46   15.0     0  26.3  12.5M     0%  21.0  27.2  14.0   280k   2.6%    0.0
46   15.0     0  26.8  28.0M     0%  20.3  27.9  13.9   516k     0%    0.0
46   15.0     0  26.1  12.9M     0%  20.3  27.1  14.0   470k     0%    0.0
46   15.0     0  26.0  11.9M     0%  22.0  27.6  13.9   318k   4.2%    0.0
46   15.0     0  26.2  18.4M     0%  21.6  27.0  14.7   421k     0%    0.0
46   15.0     0  25.9  14.1M     0%  22.4  27.2  14.1   324k     0%    0.0
46   15.0     0  25.4  4.05M     0%  24.0  27.7  13.9  90.6k     0%    0.0
46   15.0     0  25.3  5.58M     0%  23.4  27.0  14.5   142k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   14.9     0  25.8  11.4M     0%  22.6  28.4  14.1   298k     0%    0.0
RACH:  tti=2381, preamble=13, offset=4, temp_crnti=0x47
Disconnecting rnti=0x47.
RACH:  tti=2771, preamble=40, offset=4, temp_crnti=0x48
46   15.0     0  25.8  9.58M     0%  21.2  27.5  14.1   406k   6.5%    0.0
48    0.0     0   0.0    224     0%  20.1   0.0   0.0   56.0     0%    0.0
User 0x48 connected
46   15.0     0  26.4  20.4M     0%  20.9  28.5  13.7   434k     0%    0.0
48   13.9     0  4.10  2.05k  10.0%  12.3  17.8  7.75  29.6k     0%    0.0
46   15.0     0  26.5  21.8M     0%  21.3  27.6  14.0   442k     0%    0.0
48   14.6     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.4  15.8M     0%  21.4  27.8  14.2   353k     0%    0.0
48   14.3     0   0.0   0.0     0%  16.1  16.0  4.00  3.24k     0%    0.0
46   15.0     0  26.4  20.6M     0%  21.0  28.9  13.8   424k     0%    0.0
48   14.4     0   0.0   0.0     0%  20.8  19.0  13.0  8.27k     0%    0.0
46   15.0     0  26.2  18.6M     0%  21.5  27.2  14.3   370k     0%    0.0
48   14.6     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.5  18.0M     0%  20.7  27.9  13.7   381k     0%    0.0
48   14.5     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.8  27.2M     0%  20.3  28.1  13.9   516k     0%    0.0
48   13.9     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.6  24.3M     0%  20.8  28.5  14.0   470k     0%    0.0
48   14.6     0   0.0   0.0     0%  15.6  20.0  15.0  4.26k     0%    0.0
46   15.0     0  25.5  7.55M     0%  23.3  26.9  14.6   182k     0%    0.0
48   14.6     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  25.6  8.89M     0%  22.7  27.0  14.3   209k     0%    0.0
48   14.6     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.9  10.4M     0%  22.9  27.0  14.4   218k     0%    0.0
48   14.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.6  9.42M     0%  22.8  27.0  14.6   204k     0%    0.0
48   14.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.6  10.2M     0%  22.7  27.6  14.3   212k     0%    0.0
48   14.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.6  9.42M     0%  23.1  26.9  14.8   178k     0%    0.0
48   14.7     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.1  10.7M     0%  22.3  27.3  14.4   242k     0%    0.0
48   14.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.3  21.6M     0%  20.7  28.5  13.9   410k     0%    0.0
48   14.7     0   0.0   0.0     0%  14.4  18.0  11.0  4.26k     0%    0.0
46   15.0     0  26.8  27.9M     0%  20.0  28.6  13.9   524k     0%    0.0
48   14.4     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.1  18.3M     0%  21.0  28.1  14.5   430k     0%    0.0
48   14.2     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.9  28.5M     0%  19.8  28.4  13.5   547k     0%    0.0
48   14.7     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.6  19.7M     0%  20.5  28.7  13.8   404k     0%    0.0
48   14.7     0   0.0   0.0     0%  14.6  18.0  11.0  8.53k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.8  27.6M     0%  20.2  28.6  13.7   535k     0%    0.0
48   14.2     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.4  14.5M     0%  20.5  27.8  14.2   287k     0%    0.0
48   14.6     0   0.0   0.0     0%  14.5  18.0  11.0  4.26k     0%    0.0
46   15.0     0  25.5  9.73M     0%  23.2  27.0  14.7   212k     0%    0.0
48   14.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  22.3  1.76M     0%  24.7  27.0  14.8   137k     0%    0.0
48   14.9     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.3  9.59M     0%  23.4  27.0  14.5   233k     0%    0.0
48   14.7     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.9  10.8M     0%  23.2  27.8  14.6   226k     0%    699
48   14.5     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.7  9.97M     0%  21.8  27.2  14.6   225k     0%    0.0
48   14.6     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.6  22.9M     0%  20.7  28.0  14.2   467k     0%    0.0
48   14.8     0   0.0   0.0     0%  23.2  18.0  11.0  4.26k     0%    0.0
46   15.0     0  26.6  25.1M     0%  20.1  27.7  14.1   516k     0%    0.0
48   14.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.9  15.6M     0%  20.7  26.9  14.3   490k   1.0%    0.0
48   14.6     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.3  15.1M     0%  21.4  28.1  13.8   371k     0%    0.0
48   14.6     0   0.0   0.0     0%  16.7  19.3  13.7  12.5k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.2  15.8M     0%  22.5  27.2  14.3   369k     0%    0.0
48   14.4     0   0.0   0.0     0%  24.8  19.0  13.0  8.53k     0%    0.0
46   15.0     0  26.6  18.0M     0%  20.9  27.9  14.2   394k     0%    0.0
48   14.7     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.5  20.5M     0%  21.2  28.9  13.9   433k     0%    786
48   14.7     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.9  15.9M     0%  22.0  27.1  14.6   349k     0%    0.0
48   14.7     0   0.0   0.0     0%  25.0  20.0  15.0  12.8k     0%    0.0
46   15.0     0  25.4  7.29M     0%  23.0  27.0  14.3   161k     0%    0.0
48   14.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.4  6.96M     0%  23.7  27.0  14.6   141k     0%    0.0
48   14.7     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.3  7.69M     0%  23.2  27.0  14.7   168k     0%    0.0
48   14.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.0  13.7M     0%  21.7  27.2  14.3   285k     0%    0.0
48   14.7     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.5  22.9M     0%  20.8  27.9  13.8   471k     0%    0.0
48   14.3     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.2  16.8M     0%  21.5  28.6  14.4   369k     0%    0.0
48   14.6     0   0.0   0.0     0%  18.9  19.0  13.0  8.53k     0%    0.0
46   15.0     0  26.8  26.8M     0%  20.3  29.7  13.9   538k     0%    0.0
48   14.5     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.3  19.1M     0%  21.1  28.2  13.8   410k     0%    0.0
48   14.4     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.5  22.2M     0%  20.4  28.2  13.9   447k     0%    0.0
48   14.7     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.4  12.3M     0%  20.4  28.0  14.1   270k     0%    0.0
48   14.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.8  10.8M     0%  23.0  26.9  14.5   247k     0%    0.0
48   14.6     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.8  10.5M     0%  22.0  27.0  14.5   217k     0%    0.0
48   14.4     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.5  6.13M     0%  22.7  27.0  14.7   138k     0%    0.0
48   14.7     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.5  6.16M     0%  23.2  27.4  14.6   148k     0%    0.0
48   14.4     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.8  8.86M     0%  21.6  27.3  14.5   213k     0%    0.0
48   14.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.0  15.2M     0%  22.2  27.3  14.5   326k     0%    0.0
48   14.5     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.7  26.7M     0%  20.0  27.9  14.2   540k     0%    0.0
48   14.5     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.6  22.1M     0%  21.4  28.0  13.7   428k     0%    0.0
48   13.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.1  10.0M     0%  20.9  27.1  14.2   240k   6.2%    0.0
48   14.4     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.3  14.9M     0%  21.1  27.6  14.2   342k     0%    0.0
48   14.6     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.5  20.4M     0%  20.7  28.4  14.0   418k     0%    0.0
48   14.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.7  16.8M     0%  20.3  29.0  13.5   373k     0%    0.0
48   14.9     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  26.7  24.3M     0%  20.3  28.7  13.9   481k     0%    0.0
48   14.2     0   0.0   0.0     0%  21.3  19.3  13.7  12.8k     0%    0.0
46   15.0     0  25.7  9.73M     0%  21.3  27.6  13.9   226k     0%    0.0
48   14.8     0   0.0   0.0     0%   0.0   0.0   0.0   0.0     0%    0.0
46   15.0     0  25.7  9.60M     0%  21.9  28.5  14.3   175k     0%    0.0
48   14.8     0   0.0   0.0     0%  25.0  20.0  15.0  4.26k     0%    0.0
Disconnecting rnti=0x48.
46   15.0     0  25.5  5.26M     0%  23.1  27.1  14.7   118k     0%    0.0
46   15.0     0  25.8  7.98M     0%  22.1  27.4  14.6   231k     0%    0.0
46   15.0     0  26.1  14.9M     0%  21.6  28.9  13.9   336k     0%    0.0
46   15.0     0  26.0  17.2M     0%  20.7  28.0  14.3   514k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.0  12.7M     0%  21.9  27.7  14.3   315k     0%    0.0
46   15.0     0  26.3  17.7M     0%  20.9  27.5  13.9   435k     0%    0.0
46   15.0     0  26.2  17.2M     0%  21.2  28.5  14.1   368k     0%    0.0
46   15.0     0  26.4  19.8M     0%  20.4  27.8  14.2   440k     0%    0.0
46   14.4     0  25.2  22.9M     0%  20.5  27.8  14.1   452k     0%    0.0
46   14.4     0  24.7  16.6M     0%  20.7  27.9  14.2   364k     0%    0.0
46   15.0     0  26.7  26.3M     0%  19.3  28.7  13.5   537k     0%    0.0
46   15.0     0  26.7  21.4M     0%  20.5  27.9  14.1   424k     0%    0.0
46   13.2     0  22.5  19.3M     0%  19.7  28.4  14.1   471k     0%    0.0
46   14.4     0  25.0  17.7M     0%  20.7  28.8  13.6   429k     0%   24.0
46   13.8     0  24.0  20.7M     0%  20.6  28.7  13.9   463k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  25.7  9.53M     0%  22.7  27.9  13.9   233k     0%    0.0
46   14.4     0  23.7  10.6M     0%  22.0  27.5  14.4   234k     0%    0.0
46   15.0     0  25.7  8.79M     0%  22.8  27.9  14.7   183k     0%    0.0
46   15.0     0  25.2  6.08M     0%  22.8  28.1  14.4   152k     0%    0.0
46   15.0     0  25.6  7.70M     0%  22.0  28.0  14.7   196k     0%    0.0
46   15.0     0  25.8  9.93M     0%  22.6  28.3  14.3   182k     0%    0.0
46   15.0     0  25.7  9.76M     0%  21.4  27.8  14.4   223k     0%    0.0
46   15.0     0  26.3  16.6M     0%  21.1  29.7  13.8   317k     0%    0.0
46   15.0     0  26.5  21.0M     0%  21.0  28.3  14.2   408k     0%    241
46   15.0     0  25.4  8.70M     0%  22.3  28.5  14.3   339k     0%    0.0
46   15.0     0  26.3  16.4M     0%  22.1  28.6  14.2   395k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  26.4  19.9M     0%  20.5  28.8  14.2   411k     0%    200
46   15.0     0  26.2  13.3M     0%  21.3  29.2  13.8   337k     0%    0.0
46   15.0     0  26.6  22.1M     0%  20.4  29.8  13.8   462k     0%    0.0
46   14.4     0  25.2  21.1M     0%  20.8  28.9  14.0   453k     0%    0.0
46   15.0     0  26.8  27.8M     0%  20.0  28.9  13.9   535k     0%    532
46   15.0     0  25.4  6.84M     0%  23.0  28.1  14.2   165k     0%    0.0
46   15.0     0  25.5  5.49M     0%  23.1  27.1  14.5   149k     0%    0.0
46   15.0     0  25.8  9.22M     0%  21.6  27.9  14.2   267k   6.1%    0.0
46   15.0     0  9.00  12.8k     0%  24.4  27.0  15.0  17.1k     0%    0.0
46   14.4     0  23.4  9.04M     0%  22.0  28.1  14.3   207k     0%    0.0
46   15.0     0  25.5  9.52M     0%  23.0  27.1  14.4   182k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  24.0  2.71M     0%  23.3  27.0  14.9   116k     0%    0.0
46   15.0     0  25.9  13.4M     0%  22.7  27.7  14.1   283k     0%    0.0
46   15.0     0  26.7  25.0M     0%  20.4  28.6  14.2   493k     0%    0.0
46   15.0     0  26.5  20.0M     0%  21.1  28.9  14.2   372k     0%    0.0
46   15.0     0  26.4  23.0M     0%  20.8  28.7  14.4   509k     0%    0.0
46   15.0     0  26.9  27.9M     0%  19.9  29.8  13.9   534k     0%    0.0
46   15.0     0  26.3  19.4M     0%  21.3  28.6  14.0   375k     0%    0.0
46   15.0     0  26.8  26.0M     0%  20.5  29.6  13.9   489k     0%    485
46   15.0     0  26.4  22.1M     0%  20.5  29.1  13.9   414k     0%    0.0
46   15.0     0  25.6  6.98M     0%  23.0  27.0  14.7   157k     0%    0.0
46   15.0     0  25.7  10.3M     0%  22.6  27.0  14.6   206k     0%    0.0

------DL------------------------------UL----------------------------------
rnti  cqi    ri   mcs  brate   bler   snr   phr   mcs  brate   bler    bsr
46   15.0     0  25.9  8.72M     0%  22.3  27.5  14.3   168k     0%    0.0
46   15.0     0  25.2  6.90M     0%  23.7  27.8  14.7   149k     0%    0.0
46   15.0     0  25.2  4.24M     0%  22.5  28.5  13.9   103k     0%    0.0
46   15.0     0  26.7  24.3M     0%  19.9  29.1  14.0   460k     0%    0.0
46   15.0     0  26.6  21.3M     0%  20.8  28.2  13.9   440k     0%    0.0
